ID,COORD_E,COORD_N,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTAB_SA,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,LEITOS,,,,,,,,
18,349441.30,7400462.36,355030828000026,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,V PARANAGUA-AE,"JOSE GOES NOGUEIRA,R,70",V  PARANAGUA,69438044,3807380,2751836.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
19,338411.09,7391166.16,355030893000090,3550308005042,93,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,V PRUDENTE-AE,"CENTENARIO DE V PRUDENTE,PCA,108",V  PRUDENTE,2731665,3132050,2751852.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
20,336829.56,7396810.31,355030808000018,3550308005016,8,BELEM,25,MOOCA,Leste,Leste 1,BELENZINHO-AE,"JEQUITINHONHA,R, 360",BELENZINHO,2917431,3021040,,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
21,331132.48,7393302.18,355030807000097,3550308005011,7,BELA VISTA,9,SE,Centro,Centro,CENTRO - AE,"CARLOS COMENALLE,R,32",BELA VISTA,2830005,1332030,,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
22,332129.99,7394697.20,355030866000009,3550308005002,66,REPUBLICA,9,SE,Centro,Centro,CONSOLACAO-AE,"MARTINS FONTES,R,208",CONSOLACAO,32564401,1050000,2069008.000000,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
23,322986.68,7381815.77,355030846000047,3550308005225,46,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JD IBIRAPUERA-AE,"PHILIPE DE VITRY,R,280",JD STA JOSEFINA,58947251,5819080,,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
24,319501.13,7385577.55,355030817000007,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JD PIRAJUSSARA-AE,"AMADEU DA SILVA SAMELO,R,423",JARDIM MARTINICA,,,,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
25,335849.50,7390607.22,355030834000009,3550308005019,34,IPIRANGA,13,IPIRANGA,Sul,Sul 1,"FLAVIO GIANOTTI,DR-AE","XAVIER DE ALMEIDA,R,210",IPIRANGA,61636602,4211000,2751860.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES ,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
26,341681.62,7397299.34,355030859000135,3550308005071,59,PENHA,21,PENHA,Leste,Leste 1,MAURICE PATE PENHA DE FRANCA-AE,"NOSSA SENHORA DA PENHA,PCA, 55",PENHA DE FRANCA,2950953,3632010,2751933.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES ,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
27,332058.39,7385863.71,355030877000121,3550308005094,77,SAUDE,12,VILA MARIANA,Sul,Sul 1,"POSTO CECI  ""DR ALEXANDRE KALIL YASBEK ""-AE","CECI,AV,2235",PLANALTO PAULISTA,55812828,4065004,2751844.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES ,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
28,338687.30,7390335.48,355030893000014,3550308005083,93,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,V PRUDENTE-CAPS/ADOLESCENTE,"ZELINA,AV,322",V  ZELINA,63419570,3143000,2029596.000000,1,Municipal,12,CAPS ADOLESCENTE,3,SAUDE MENTAL,0,,,,,,,,
29,325881.85,7382929.04,355030871000062,3550308005174,71,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,SANTO AMARO-CAPS/JUVENTUDE,"PAULO EIRO,R,19/23",STO  AMARO,56874511,4752010,4049837.000000,1,Municipal,12,CAPS JUVENTUDE,3,SAUDE MENTAL,0,,,,,,,,
30,344499.75,7387785.73,355030872000176,3550308005159,72,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,CASA DO PARTO DE SAPOPEMBA,"JORGE SILVA LUZ, R,340",PQ PEREIRA,67020435,,9999912.000000,1,Municipal,7,CASA DO PARTO,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
31,334298.66,7400299.61,355030870000022,3550308005063,70,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 1,CAPS II INFANTIL SANTANA,"SARAIVA,CONS,R,411",SANTANA,69739434,2037020,2027658.000000,1,Municipal,11,CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,3,SAUDE MENTAL,0,,,,,,,,
32,333054.92,7383914.80,355030838000148,3550308005093,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,CRIA CASINHA-CAPS INFANTIL,"ONZE DE FEVEREIRO,R,318",CID VARGAS,,4319020,2815443.000000,1,Municipal,11,CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,3,SAUDE MENTAL,0,,,,,,,,
33,353590.65,7394338.09,355030847000060,3550308005262,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,ITAQUERA-CAPS/INFANTIL CRIA ITAQUERA,"BERNARDINO PRUDENTE,R,86",COHAB JOSE BONIFACIO,65211162,8255020,4050304.000000,1,Municipal,11,CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,3,SAUDE MENTAL,0,,,,,,,,
34,324351.44,7396526.91,355030888000024,3550308005107,88,VILA LEOPOLDINA,8,LAPA,Oeste,Oeste,LAPA-CAPS/INFANTIL,"BERGSON,R, 52",PQ DA LAPA,38362690,5301060,2027003.000000,1,Municipal,11,CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,3,SAUDE MENTAL,0,,,,,,,,
35,336895.55,7394543.75,355030853000057,3550308005017,53,MOOCA,25,MOOCA,Leste,Leste 1,MOOCA-CAPS/INFANTIL,"TAQUARI,R,549",MOOCA,66944628,3166000,2042916.000000,1,Municipal,11,CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,3,SAUDE MENTAL,0,,,,,,,,
36,349270.90,7388015.75,355030873000205,3550308005206,73,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,S MATEUS-CAPS/INFANTIL,"ERNESTO MANOGRASSO,R,133",SAO MATEUS,61125956,3963100,2069059.000000,1,Municipal,11,CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,3,SAUDE MENTAL,0,,,,,,,,
37,327476.49,7385810.55,355030871000049,3550308005174,71,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,SANTO AMARO-CAPS/INFANTIL,"MILTON CAMPOS,SEN,R,149",CHAC STO  ANTONIO,51811122,4708040,4050258.000000,1,Municipal,11,CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,3,SAUDE MENTAL,0,,,,,,,,
38,336206.85,7385952.21,355030868000074,3550308005088,68,SACOMA,13,IPIRANGA,Sul,Sul 1,VILA DAS MERCES - CAPS INFANTIL,"NOSSA SENHORA DAS MERCES,R,1315",V DAS MERCES,69402200,,3108368.000000,1,Municipal,11,CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,3,SAUDE MENTAL,0,,,,,,,,
39,331161.01,7393307.27,355030807000080,3550308005011,7,BELA VISTA,9,SE,Centro,Centro,ITAPEVA-CAPS LUIZ R. CERQUEIRA,"ITAPEVA,R,700",BELA VISTA,2892585,,,2,Estadual,9,CENTRO DE ATENCAO PSICOSSOCIAL (CAPS),3,SAUDE MENTAL,0,,,,,,,,
40,355630.20,7395343.51,355030831000057,3550308005265,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,ARTHUR BISPO DO ROSARIO- GUAIANASES CAPS/ADULTO,"FRANCISCO PINHEIRO,R,PROF,300",GUAIANASES,,,3003167.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
41,327193.63,7402827.61,355030811000126,3550308005120,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,BRASILANDIA-CAPS/ ADULTO,"AUGUSTO DO AMARAL,DR,R,222",BRASILANDIA,39218924,2831030,2786575.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
42,324578.31,7390953.18,355030812000135,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,BUTANTA-CAPS/ADULTO,"OSCAR PINHEIRO COELHO,R,287",CAXINGUI,37271819,5516050,2786516.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
43,342253.64,7392764.49,355030885000006,3550308005040,85,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,CAPS  ADULTO- ARICANDUVA / FORMOSA,"DOMINGO DITANO,PCA,84",V FORMOSA,,,3384292,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
44,348050.80,7399822.87,355030828000060,3550308005140,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,ERMELINO MATARAZZO-CAPS/ADULTO,"BOTURUSSU,AV,168",PQ. BOTURUSSU,65466787,3802000,2751992.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
45,328019.69,7390330.43,355030835000156,3550308005050,35,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,ITAIM BIBI-CAPS/ADULTO,"HORACIO LAFER,AV,590",ITAIM BIBI,30786886,,2040808.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
46,351431.87,7395751.02,355030837000048,3550308005202,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,ITAQUERA - CAPS ADULTO,"PORTO XAVIER,R,57",V CARMOSINA,62050460,,2067811.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
47,332888.38,7384193.21,355030838000147,3550308005093,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,JABAQUARA-CAPS III ADULTO,"GETULIO VARGAS,R,27",CIDADE VARGAS,50127952,4318030,3025438.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
48,338013.77,7404503.95,355030839000045,3550308005070,39,JACANA,6,JACANA-TREMEMBE,Norte,Norte 1,JACANA/TREMEMBE-CAPS/ ADULTO,"PAULO LINCOLN DO VALLE PONTIN,R,323",JACANA,62429399,2273010,2068133.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
49,320210.61,7381680.07,355030819000089,3550308005231,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,JD LIDIA-CAPS/ADULTO,"GUTEMBERG JOSE FERREIRA,R,50",JD. LIDIA,55139560,5860070,2028816.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
50,326309.21,7397570.87,355030848000107,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,LAPA-CAPS/ADULTO,"ROMA, R,446",V ROMANA,36755648,,4050290.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
51,324901.50,7383342.71,355030871000065,3550308005174,71,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,LGO TREZE DE MAIO-CAPS/ADULTO,"PAULA CRUZ,R,71",JD. DOM BOSCO,56866076,4757120,4049829.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
52,333576.26,7401726.34,355030870000111,3550308005065,70,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 1,MANDAQUI-CAPS/ADULTO,"LUIS LUSTOSA DA SILVA,DR,R,369",MANDAQUI,69790923,2406040,2070804.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
53,329866.51,7396621.23,355030806000024,3550308005029,6,BARRA FUNDA,8,LAPA,Oeste,Oeste,PERDIZES-CAPS/ADULTO DR. MANOEL MUNHOZ,"CANDIDO ESPINHEIRA,R,616",PERDIZES,36722000,5004000,4049845.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
54,323740.73,7401525.16,355030863000003,3550308005114,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,PIRITUBA/JARAGU--CAPS ADULTO,"RAIMUNDO PEREIRA DE MAGALHAES,AV,5214",PIRITUBA,39749122,2938010,2786508.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
55,325004.32,7400685.24,355030863000081,3550308005112,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,PIRITUBA-CAPS/ADULTO,"URUTINGA,R,90",V BONILHA,39767581,2933140,2786583.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
56,347870.71,7389639.27,355030873000099,3550308005154,73,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,S MATEUS-CAPS/ADULTO,"CLOVIS MONTEIRO CARVALHO JR,R,22",JD. TIETE,69623464,3946060,2069148.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
57,352238.60,7401088.25,355030874000110,3550308005196,74,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,S MIGUEL PAULISTA-CAPS/ADULTO,"OTAVIO DE ROSA,R,37",SAO MIGUEL PAULISTA,69568047,8011150,2752018.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
58,347647.90,7387918.72,355030876000172,3550308005209,76,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,SAPOPEMBA-CAPS II ADULTO,"JOAO LOPES DE LIMA,R,1151",JD SAPOPEMBA,61197080,3976020,2815435.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
59,344320.24,7396366.44,355030891000057,3550308005075,91,VILA MATILDE,21,PENHA,Leste,Leste 1,V MATILDE-CAPS ADULTO,"JOSE MANOEL DA FONSECA JR,R,416",V  MATILDE,66530944,3511000,2029626.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
60,338783.67,7390647.86,355030893000032,3550308005042,93,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,V PRUDENTE-CAPS/ADULTO,"SANTA HELENA,PCA,56",V  PRUDENTE,63470886,3139030,2786524.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,,,,,,
61,327208.05,7395111.19,355030862000166,3550308005054,60,PERDIZES,8,LAPA,Oeste,Oeste,ASSOCIACAO PRO SAUDE MENTAL/PROSAM-CAPS ad,"HEITOR PENTEADO,R,1448",SUMARE,38621385,5438100,2091429.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,,,,,,
62,341681.52,7397299.45,355030859000135,3550308005071,59,PENHA,21,PENHA,Leste,Leste 1,PENHA - CAPS ad,"NOSSA SENHORA DA PENHA,PCA,55",PENHA,,,3304566,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,,,,,,
63,323632.74,7400454.83,355030863000016,3550308005310,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,CASA AZUL-CAPS ad PIRITUBA,"LINO PINTO DOS SANTOS,R,203",JD DA FELICIDADE,3835290,5143000,2766221.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,,,,,,
64,333808.17,7394491.63,355030878000041,3550308005001,78,SE,9,SE,Centro,Centro,CENTRO-CAPS ad,"FREDERICO ALVARENGA,R,259,5A",PQ. D. PEDRO II,32410901,1020030,2786532.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,,,,,,
65,348813.58,7401849.95,355030828000102,3550308005139,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,ERMELINO MATARAZZO-CAPS ad,"SAMPEI SATO,R,444",JD MATARAZZO,69439276,,2786567.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,,,,,,
66,332719.23,7384938.31,355030838000140,3550308005093,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,JABAQUARA-CAPS ad,"JAPURA,DE,BR,PCA,01",V  GUARANI,50111583,,2815427.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,,,,,,
67,318637.58,7378101.29,355030843000025,3550308005291,43,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,JD  ANGELA-CAPS ad,"IVIRAPEMA,AV,41",PQ BOLOGNE,58332838,4941010,2786540.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,,,,,,
68,358455.37,7398909.14,355030836000092,3550308005254,36,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,JD  NELIA - CAPS ad,"DOMINGOS MARTIS PACHECO,R,1910",JD NELIA,,,3314359.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,,,,,,
69,336951.79,7394921.37,355030853000057,3550308005017,53,MOOCA,25,MOOCA,Leste,Leste 1,MOOCA - CAPS ad,"JAIBARAS,R,251",MOOCA,,,3313344.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,,,,,,
70,326449.35,7393244.05,355030862000154,3550308005053,62,PINHEIROS,11,PINHEIROS,Oeste,Oeste,PINHEIROS - CAPS ad,"NICOLAU GAGLIARDI,R,439",PINHEIROS,38163959,,3010201.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,,,,,,
71,327458.41,7385242.93,355030871000008,3550308005173,71,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,SANTO AMARO-CAPS ad,"SAO BENEDITO,R,2400",STO  AMARO,,,2786559.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,,,,,,
72,348315.67,7389327.06,355030873000028,3550308005154,73,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,SAO MATEUS-CAPS ad,"JOAQUIM GOUVEIA FRANCO,R,150",SAO MATEUS,61198143,3961020,3025012.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,,,,,,
73,332009.13,7385976.67,355030877000121,3550308005094,77,SAUDE,12,VILA MARIANA,Sul,Sul 1,VILA MARIANA-CAPS ad,"CECI,AV,2101",PLANALTO PAULISTA,2753432,4065004,2042924.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,,,,,,
74,356110.52,7392876.82,355030825000009,3550308005269,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CASA SER-MARIA AUXILIADORA LARA BARCELOS,"GUILHERME DE ABREU SOBRE,DR,R,485",CIDADE TIRADENTES,65557090,8490110,3008681.000000,1,Municipal,13,CENTRO DE ATENCAO SAUDE SEXUAL REPRODUTIVA,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
75,318465.04,7384772.51,355030817000050,3550308005236,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO LIMPO - CECCO,"CARLOS LACERDA,AV,678",CAMPO LIMPO,,,3273997.000000,1,Municipal,14,CENTRO DE CONVIVENCIA E COOPERATIVA (CECCO),3,SAUDE MENTAL,0,,,,,,,,
