ID,COORD_E,COORD_N,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTAB_SA,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,LEITOS,,,
12,330757.65,7378473.30,355030858000064,3550308005216,58,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,CESAR ANTUNES DA ROCHA-AE(PEDREIRA),"CORREGO AZUL,R,433",PEDREIRA,56115044.000000,4463010,2751925.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
13,330757.65,7378473.30,355030858000064,3550308005216,58,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,CESAR ANTUNES DA ROCHA-AMA (PEDREIRA),"CORREGO AZUL,R,433",PEDREIRA,56115044.000000,4463010,6133460.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
14,330791.35,7380879.77,355030822000001,3550308005164,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,V JOANIZA-UBS,"LUIS VIVES,R,85",V JOANIZA,56220844.000000,4404150,2751828.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
15,330791.35,7380879.77,355030822000001,3550308005164,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,JOAO YUNES - AMA,"LUIS VIVES,R,85",V JOANIZA,56220844.000000,4404150,6133487.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
16,332935.56,7383326.54,355030838000094,3550308005095,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,"GERALDO S FERREIRA,DR-AMA","ARMANDO DE ARRUDA PEREIRA,ENG,AV,2944",PQ JABAQUARA,55882366.000000,4309011,6143261.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
17,332935.56,7383326.54,355030838000094,3550308005095,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,"GERALDO S FERREIRA,DR-UBS","ARMANDO DE ARRUDA PEREIRA,ENG,AV,2944",PQ JABAQUARA,55882366.000000,4309011,2042991.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
18,347654.40,7387960.98,355030876000172,3550308005209,76,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,SAPOPEMBA-AE,"JOAO LOPES DE LIMA,R,1151",JD. SAPOPEMBA,29623480.000000,3976020,2751968.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
19,347654.40,7387960.98,355030876000172,3550308005209,76,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,SAPOPEMBA-AMA,"JOAO LOPES DE LIMA,R,1151",JD. SAPOPEMBA,29623480.000000,3976020,6144055.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
20,331134.54,7393336.76,355030807000080,3550308005011,7,BELA VISTA,9,SE,Centro,Centro,CENTRO - AE,"CARLOS COMENALLE,R,32",BELA VISTA,2830005.000000,1332030,2068982,2,Estadual,1,AMBULATORIO DE SAUDE MENTAL,3,SAUDE MENTAL,0,,,
21,332149.58,7394733.86,355030866000009,3550308005002,66,REPUBLICA,9,SE,Centro,Centro,CONSOLACAO-AE,"MARTINS FONTES,R,208",CONSOLACAO,32564401.000000,1050000,2069008.000000,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
22,336273.77,7394012.95,355030853000023,3550308005018,53,MOOCA,25,MOOCA,Leste,Leste 1,"ITALO DOMIGOS LE VOCCI,DR-AE (MOOCA)","MARINA CRESPI,R,91",MOOCA,22929512.000000,3112090,2751917.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
23,336792.61,7396781.55,355030808000018,3550308005016,8,BELEM,25,MOOCA,Leste,Leste 1,BELENZINHO-AE,"JEQUITINHONHA,R, 360",BELENZINHO,2917431.000000,3021040,2091488,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
24,328170.77,7371824.46,355030830000013,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,"MILTON ALDRED,DR-AE","SAO CAETANO DO SUL,R,381",GRAJAU,59322015.000000,4840230,2751909.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
25,335280.11,7402132.30,355030882000068,3550308005066,82,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 1,"ARMANDO DE AGUIAR PUPO,DR - AE (TUCURUVI)","NOVA CANTAREIRA,AV,1476",TUCURUVI,29526700.000000,2331002,2751984.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
26,338480.85,7391125.40,355030893000064,3550308005042,93,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,V PRUDENTE-AE,"CENTENARIO DE V PRUDENTE,PCA,108",V  PRUDENTE,22731665.000000,3132050,2751852.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
27,348226.37,7395375.28,355030805000008,3550308005149,5,ARTUR ALVIM,21,PENHA,Leste,Leste 1,"MANUEL DA NOBREGA,PE-AE","FRANCISCO DE TOLEDO,PE,AV,545",COHAB PADRE M. DA NOBREGA,67417296.000000,3590120,2027070.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
28,348226.37,7395375.28,355030805000008,3550308005149,5,ARTUR ALVIM,21,PENHA,Leste,Leste 1,"MANUEL DA NOBREGA,PE-AMA","FRANCISCO DE TOLEDO,PE,AV,545",COHAB PADRE M. DA NOBREGA,67417296.000000,3590120,6143172.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
29,349455.67,7400913.57,355030828000049,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,V PARANAGUA-AE,"JOSE GOES NOGUEIRA,R,70",V  PARANAGUA,69438044.000000,3807380,2751836.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
30,353528.63,7394455.08,355030847000033,3550308005262,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,JOSE BONIFACIO IV-AE,"ANDREAS AMON,R,150",COHAB JOSE BONIFACIO,65232158.000000,8255130.000000,2751895.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
31,353913.30,7395653.51,355030847000085,3550308005261,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,GUAIANAZES I - AMA,"OSVALDO DE OLIVEIRA,PROF,AV,610",JD. HELENA,65578844.000000,8420280,6135331.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
32,353913.30,7395653.51,355030847000085,3550308005261,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,JOSE BONIFACIO I-UBS,"OSVALDO DE OLIVEIRA,PROF,AV,610",JD. HELENA,65578844.000000,8420280,2026996.000000,1,Municipal,45,UNIDADE BASICA DE SAUDE,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0,,,
33,352867.34,7400734.87,355030874000093,3550308005196,74,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,TITO LOPES DA SILVA-AE,"ANTONIO GAMA DE CERQUEIRA,PROF,R,647",V AMERICANA,29569099.000000,8010130,2751976.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
34,352867.34,7400734.87,355030874000093,3550308005196,74,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,TITO LOPES DA SILVA - AMA,"ANTONIO GAMA DE CERQUEIRA,PROF,R,647",V AMERICANA,29569099.000000,8010130,6135722.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
35,332060.24,7385924.09,355030877000121,3550308005094,77,SAUDE,12,VILA MARIANA,Sul,Sul 1,"POSTO CECI  ""DR ALEXANDRE KALIL YASBEK ""- AE","CECI,AV,2235",PLANALTO PAULISTA,22751999.000000,4065004,2751844.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
36,335850.01,7390507.99,355030834000009,3550308005019,34,IPIRANGA,13,IPIRANGA,Sul,Sul 1,"FLAVIO GIANOTTI,DR-AE","XAVIER DE ALMEIDA,R,210",IPIRANGA,20630622.000000,4211000,2751860.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
37,335850.01,7390507.99,355030834000009,3550308005019,34,IPIRANGA,13,IPIRANGA,Sul,Sul 1,"FLAVIO GIANOTTI,DR-AMA","XAVIER DE ALMEIDA,R,210",IPIRANGA,20630622.000000,4211000,6133533.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
38,341715.01,7397318.86,355030859000135,3550308005071,59,PENHA,21,PENHA,Leste,Leste 1,MAURICE PATE PENHA DE FRANCA-AE,"NOSSA SENHORA DA PENHA,PCA, 55",PENHA DE FRANCA,20924845.000000,3632010,2751933.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
39,331157.81,7393319.64,355030807000080,3550308005011,7,BELA VISTA,9,SE,Centro,Centro,ITAPEVA-CAPS LUIZ R. CERQUEIRA,"ITAPEVA,R,700",BELA VISTA,2892585.000000,,2068923,2,Estadual,9,CENTRO DE ATENCAO PSICOSSOCIAL (CAPS),3,SAUDE MENTAL,0,,,
40,318637.58,7378101.29,355030843000025,3550308005291,43,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,JD  ANGELA-CAPS ad,"IVIRAPEMA,AV,41",PQ BOLOGNE,58332838.000000,4941010,2786540.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,
41,327448.30,7385208.58,355030871000008,3550308005173,71,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,SANTO AMARO-CAPS ad,"SAO BENEDITO,R,2400",STO  AMARO,55232864.000000,4735005.000000,2786559.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,
42,326436.31,7393336.37,355030862000154,3550308005053,62,PINHEIROS,11,PINHEIROS,Oeste,Oeste,PINHEIROS - CAPS ad,"NICOLAU GAGLIARDI,R,439",PINHEIROS,38163959.000000,5429010.000000,3010201.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,
43,327306.26,7395078.57,355030860000085,3550308005057,60,PERDIZES,8,LAPA,Oeste,Oeste,ASSOCIACAO PRO SAUDE MENTAL/PROSAM-CAPS ad,"HEITOR PENTEADO,R,1448",SUMARE,38621385.000000,5438100,2091429.000000,4,Privado,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,
44,323630.87,7400466.44,355030863000016,3550308005310,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,CASA AZUL-CAPS ad PIRITUBA,"LINO PINTO DOS SANTOS,R,203",JD DA FELICIDADE,3835290.000000,5143000,2766221.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,
45,332004.65,7386037.86,355030877000121,3550308005094,77,SAUDE,12,VILA MARIANA,Sul,Sul 1,VILA MARIANA-CAPS ad,"CECI,AV,2101",PLANALTO PAULISTA,22753432.000000,4065004,2042924.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,
46,332719.23,7384938.31,355030838000140,3550308005093,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,JABAQUARA-CAPS ad,"JAPURA,DE,BR,PCA,01",V  GUARANI,50111583.000000,4313160.000000,2815427.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,
47,348315.67,7389327.06,355030873000028,3550308005154,73,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,SAO MATEUS-CAPS ad,"JOAQUIM GOUVEIA FRANCO,R,150",SAO MATEUS,61198143.000000,3961020,3025012.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,
48,333797.74,7394537.14,355030878000003,3550308005001,78,SE,9,SE,Centro,Centro,CENTRO-CAPS ad,"FREDERICO ALVARENGA,R,259,5A",PQ. D. PEDRO II,32415460.000000,1020030,2786532.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,
49,337036.97,7394800.16,355030853000075,3550308005017,53,MOOCA,25,MOOCA,Leste,Leste 1,MOOCA - CAPS ad,"JAIBARAS,R,251",MOOCA,66946364.000000,3163040.000000,3313344.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,
50,341715.01,7397318.86,355030859000135,3550308005071,59,PENHA,21,PENHA,Leste,Leste 1,PENHA - CAPS ad,"NOSSA SENHORA DA PENHA,PCA,55",PENHA,22935008.000000,3632010.000000,3304566,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,
51,348830.68,7401846.36,355030828000102,3550308005139,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,ERMELINO MATARAZZO-CAPS ad,"JO?O ANTONIO ANDRADE,R, 804",JD MATARAZZO,29439276.000000,3805070.000000,2786567.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,
52,357319.50,7400272.42,355030836000103,3550308005249,36,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,JD  NELIA - CAPS ad,"VALENTE DE NOVAIS,R,51",JD TUA,65618015.000000,8142120.000000,3314359.000000,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,3,SAUDE MENTAL,0,,,
53,338714.61,7390339.44,355030893000014,3550308005083,93,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,V PRUDENTE-CAPS INFANTIL ADOLESCENTE,"ZELINA,AV,322",V  ZELINA,63419570.000000,3143000,2029596.000000,1,Municipal,11,CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL ,3,SAUDE MENTAL,0,,,
54,320242.15,7381712.36,355030819000089,3550308005231,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,JD LIDIA-CAPS ADULTO,"GUTEMBERG JOSE FERREIRA,R,50",JD. LIDIA,55139560.000000,5860070,2028816.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
55,324999.08,7383406.80,355030871000065,3550308005174,71,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,LGO TREZE DE MAIO-CAPS ADULTO,"PAULA CRUZ,R,71",JD. DOM BOSCO,56866076.000000,4757120,4049829.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
56,324570.73,7390963.50,355030812000135,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,BUTANTA -CAPS ADULTO,"OSCAR PINHEIRO COELHO,R, 287",CAXINGUI,37271819.000000,5516050,2786516.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
57,328115.78,7390397.35,355030835000059,3550308005050,35,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,ITAIM BIBI-CAPS ADULTO,"HORACIO LAFER,AV,590",ITAIM BIBI,30786886.000000,4582082.000000,2040808.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
58,329977.48,7396579.99,355030806000020,3550308005029,6,BARRA FUNDA,8,LAPA,Oeste,Oeste,PERDIZES-CAPS ADULTO DR. MANOEL MUNHOZ,"CANDIDO ESPINHEIRA,R,616",PERDIZES,36722000.000000,5004000,4049845.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
59,326318.95,7397610.20,355030848000107,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,LAPA-CAPS ADULTO,"ROMA, R,446",V ROMANA,36755648.000000,5050090.000000,4050290.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
60,323948.75,7401574.07,355030863000003,3550308005114,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,PIRITUBA/JARAGUA - CAPS ADULTO,"RAIMUNDO PEREIRA DE MAGALHAES,AV,5214",PIRITUBA,39749122.000000,2938010,2786508.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
61,325004.32,7400685.24,355030863000081,3550308005112,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,PIRITUBA-CAPS ADULTO,"URUTINGA,R,90",V BONILHA,39767581.000000,2933140,2786583.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
62,327164.30,7402836.57,355030811000126,3550308005120,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,BRASILANDIA-CAPS ADULTO,"AUGUSTO DO AMARAL,DR,R,222",BRASILANDIA,39218924.000000,2831030,2786575.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
63,332870.90,7384222.80,355030838000147,3550308005093,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,JABAQUARA-CAPS ADULTO,"GETULIO VARGAS,R,27",CIDADE VARGAS,50127952.000000,4318030,3025438.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
64,347654.40,7387960.98,355030876000172,3550308005209,76,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,SAPOPEMBA-CAPS II ADULTO,"JOAO LOPES DE LIMA,R,1151",JD SAPOPEMBA,61197080.000000,3976020,2815435.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
65,347889.48,7389659.62,355030873000099,3550308005154,73,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,S MATEUS-CAPS ADULTO,"CLOVIS MONTEIRO CARVALHO JR,R,22",JD. TIETE,69623464.000000,3946060,2069148.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
66,333573.89,7401701.62,355030870000111,3550308005065,70,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 1,MANDAQUI-CAPS ADULTO,"LUIS LUSTOSA DA SILVA,DR,R,369",MANDAQUI,69790923.000000,2406040,2070804.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
67,338756.85,7390609.36,355030893000142,3550308005042,93,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,V PRUDENTE-CAPS ADULTO,"SANTA HELENA,PCA,56",V  PRUDENTE,63470886.000000,3139030,2786524.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
68,338039.85,7404371.89,355030839000046,3550308005070,39,JACANA,6,JACANA-TREMEMBE,Norte,Norte 1,JACANA/TREMEMBE-CAPS ADULTO,"PAULO LINCOLN DO VALLE PONTIN,R,323",JACANA,62423884.000000,2273010,2068133.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
69,344289.22,7396393.24,355030891000057,3550308005075,91,VILA MATILDE,21,PENHA,Leste,Leste 1,V MATILDE-CAPS ADULTO,"JOSE MANOEL DA FONSECA JR,R,416",V  MATILDE,66530944.000000,3511000,2029626.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
70,348038.30,7399679.10,355030828000086,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,ERMELINO MATARAZZO - CAPS ADULTO,"BOTURUSSU,AV,168",PQ. BOTURUSSU,65466787.000000,3802000,2751992.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
71,351422.65,7395764.88,355030837000048,3550308005202,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,ITAQUERA - CAPS ADULTO,"PORTO XAVIER,R,57",V CARMOSINA,62050460.000000,,2067811.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
72,355381.75,7395399.53,355030831000085,3550308005265,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,ARTHUR BISPO DO ROSARIO- GUAIANASES CAPS ADULTO,"SERRA DO MAR,R,56",GUAIANASES,29613240.000000,8410165.000000,3003167.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
73,352262.50,7401118.94,355030874000110,3550308005196,74,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,S MIGUEL PAULISTA-CAPS ADULTO,"OTAVIO DE ROSA,R,37",SAO MIGUEL PAULISTA,69568047.000000,8011150,2752018.000000,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,3,SAUDE MENTAL,0,,,
74,327490.51,7385807.06,355030871000049,3550308005174,71,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,SANTO AMARO-CAPS INFANTIL,"MILTON CAMPOS,SEN,R,149",CHAC STO  ANTONIO,51811122.000000,4708040,4050258.000000,1,Municipal,11,CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,3,SAUDE MENTAL,0,,,
75,324356.24,7396561.08,355030888000024,3550308005107,88,VILA LEOPOLDINA,8,LAPA,Oeste,Oeste,LAPA-CAPS INFANTIL,"BERGSON,R, 52",PQ DA LAPA,38362690.000000,5301060,2027003.000000,1,Municipal,11,CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,3,SAUDE MENTAL,0,,,
