ID,COORD_E,COORD_N,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTAB_SA,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,SA_CLASSE,CLASSE,LEITOS
11,330718.87,7378387.13,355030858000063,3550308005213,58,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,CESAR ANTUNES DA ROCHA-AE (PEDREIRA),"CORREGO AZUL,R,433",PEDREIRA,56115044,4463010,2751925,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
12,330718.87,7378387.13,355030858000063,3550308005213,58,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,CESAR ANTUNES DA ROCHA- AMA (PEDREIRA),"CORREGO AZUL,R,433",PEDREIRA,56115044,4463010,2751925,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,,,6,URGENCIA/EMERGENCIA,0
13,330722.88,7380864.80,355030822000013,3550308005164,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,V JOANIZA-AE,"LUIS VIVES,R,85",V JOANIZA,56220844,4404150,2751828,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
14,330722.88,7380864.80,355030822000013,3550308005164,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,V JOANIZA-AMA,"LUIS VIVES,R,85",V JOANIZA,56220844,4404150,2751828,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,,,6,URGENCIA/EMERGENCIA,0
15,332995.03,7383255.78,355030838000094,3550308005095,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,"GERALDO S FERREIRA,DR- AMA","ARMANDO DE ARRUDA PEREIRA,ENG,AV,2944",PQ JABAQUARA,55882366,4309011,2042991,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,,,6,URGENCIA/EMERGENCIA,0
16,332995.03,7383255.78,355030838000094,3550308005095,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,"GERALDO S FERREIRA,DR-UBS","ARMANDO DE ARRUDA PEREIRA,ENG,AV,2944",PQ JABAQUARA,55882366,4309011,2042991,1,Municipal,45,UNIDADE BASICA DE SAUDE,,,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0
17,347647.90,7387918.61,355030876000172,3550308005209,76,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,SAPOPEMBA-AE,"JOAO LOPES DE LIMA,R,1151",JD. SAPOPEMBA,29623480,3976020,2751968,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
18,347647.90,7387918.61,355030876000172,3550308005209,76,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,SAPOPEMBA-AMA,"JOAO LOPES DE LIMA,R,1151",JD. SAPOPEMBA,29623480,3976020,2751968,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,,,6,URGENCIA/EMERGENCIA,0
19,331132.48,7393302.18,355030807000097,3550308005011,7,BELA VISTA,9,SE,Centro,Centro,CENTRO - AE,"CARLOS COMENALLE,R,32",BELA VISTA,2830005,1332030,2068982,2,Estadual,1,AMBULATORIO DE SAUDE MENTAL,,,3,SAUDE MENTAL,0
20,332129.99,7394697.20,355030866000009,3550308005002,66,REPUBLICA,9,SE,Centro,Centro,CONSOLACAO-AE,"MARTINS FONTES,R,208",CONSOLACAO,32564401,1050000,2069008,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
21,336251.62,7394030.64,355030853000041,3550308005018,53,MOOCA,25,MOOCA,Leste,Leste 1,"ITALO DOMIGOS LE VOCCI,DR-AE (MOOCA)","MARINA CRESPI,R,91",MOOCA,22929512,3112090,2751917,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
22,336829.56,7396810.31,355030808000018,3550308005016,8,BELEM,25,MOOCA,Leste,Leste 1,BELENZINHO-AE,"JEQUITINHONHA,R, 360",BELENZINHO,2917431,3021040,2091488,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
23,328169.34,7371815.92,355030830000013,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,"MILTON ALDRED,DR-AE","SAO CAETANO DO SUL,R,381",GRAJAU,59322015,4840230,2751909,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
24,335258.41,7402126.96,355030882000068,3550308005066,82,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 1,"ARMANDO DE AGUIAR PUPO,DR-AE (TUCURUVI)","NOVA CANTAREIRA,AV,1476",TUCURUVI,29526700,2331002,2751984,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
25,338411.09,7391166.16,355030893000090,3550308005042,93,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,V PRUDENTE-AE,"CENTENARIO DE V PRUDENTE,PCA,108",V  PRUDENTE,22731665,3132050,2751852,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
26,348283.61,7395290.16,355030805000008,3550308005149,5,ARTUR ALVIM,21,PENHA,Leste,Leste 1,"MANUEL DA NOBREGA,PE- AE","FRANCISCO DE TOLEDO,PE,AV,545",COHAB PADRE M. DA NOBREGA,67417296,3590120,2027070,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
27,348283.61,7395290.16,355030805000008,3550308005149,5,ARTUR ALVIM,21,PENHA,Leste,Leste 1,"MANUEL DA NOBREGA,PE- AMA","FRANCISCO DE TOLEDO,PE,AV,545",COHAB PADRE M. DA NOBREGA,67417296,3590120,2027070,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,,,6,URGENCIA/EMERGENCIA,0
28,349441.30,7400462.36,355030828000026,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,V PARANAGUA-AE,"JOSE GOES NOGUEIRA,R,70",V  PARANAGUA,69438044,3807380,2751836,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
29,353528.63,7394455.08,355030847000033,3550308005262,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,JOSE BONIFACIO IV-AE,"ANDREAS AMON,R,150",COHAB JOSE BONIFACIO,65232158,8255130,2751895,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
30,353914.60,7395645.66,355030847000085,3550308005261,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,GUAIANAZES-AE,"OSVALDO DE OLIVEIRA,PROF,AV,610",JD. HELENA,65578844,8420280,2026996,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
31,353914.60,7395645.66,355030847000085,3550308005261,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,GUAIANAZES- AMA,"OSVALDO DE OLIVEIRA,PROF,AV,610",JD. HELENA,65578844,8420280,2026996,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,,,6,URGENCIA/EMERGENCIA,0
32,352849.89,7400793.72,355030874000093,3550308005196,74,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,TITO LOPES DA SILVA-AE,"ANTONIO GAMA DE CERQUEIRA,PROF,R,647",V AMERICANA,29569099,8010130,2751976,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
33,352849.89,7400793.72,355030874000093,3550308005196,74,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,TITO LOPES DA SILVA-AMA,"ANTONIO GAMA DE CERQUEIRA,PROF,R,647",V AMERICANA,29569099,8010130,2751976,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,,,6,URGENCIA/EMERGENCIA,0
34,332058.39,7385863.71,355030877000121,3550308005094,77,SAUDE,12,VILA MARIANA,Sul,Sul 1,"POSTO CECI  ""DR ALEXANDRE KALIL YASBEK ""- AE","CECI,AV,2235",PLANALTO PAULISTA,22751999,4065004,2751844,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
35,335849.50,7390607.22,355030834000009,3550308005019,34,IPIRANGA,13,IPIRANGA,Sul,Sul 1,"FLAVIO GIANOTTI,DR-AE","XAVIER DE ALMEIDA,R,210",IPIRANGA,20630622,4211000,2751860,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
36,335849.50,7390607.22,355030834000009,3550308005019,34,IPIRANGA,13,IPIRANGA,Sul,Sul 1,"FLAVIO GIANOTTI,DR-AMA","XAVIER DE ALMEIDA,R,210",IPIRANGA,20630622,4211000,2751860,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,,,6,URGENCIA/EMERGENCIA,0
37,341681.52,7397299.45,355030859000135,3550308005071,59,PENHA,21,PENHA,Leste,Leste 1,MAURICE PATE PENHA DE FRANCA-AE,"NOSSA SENHORA DA PENHA,PCA, 55",PENHA DE FRANCA,20924845,3632010,2751933,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
38,331161.01,7393307.27,355030807000080,3550308005011,7,BELA VISTA,9,SE,Centro,Centro,ITAPEVA-CAPS LUIZ R. CERQUEIRA,"ITAPEVA,R,700",BELA VISTA,2892585,,2068923,2,Estadual,9,CENTRO DE ATENÇÃO PSICOSSOCIAL (CAPS),,,3,SAUDE MENTAL,0
39,318637.58,7378101.29,355030843000025,3550308005291,43,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,JD  ANGELA-CAPS ad,"IVIRAPEMA,AV,41",PQ BOLOGNE,58332838,4941010,2786540,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,,,3,SAUDE MENTAL,0
40,327458.41,7385242.93,355030871000008,3550308005173,71,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,SANTO AMARO-CAPS ad,"SAO BENEDITO,R,2400",STO  AMARO,55232864,4735005,2786559,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,,,3,SAUDE MENTAL,0
41,326449.35,7393244.05,355030862000154,3550308005053,62,PINHEIROS,11,PINHEIROS,Oeste,Oeste,PINHEIROS - CAPS ad,"NICOLAU GAGLIARDI,R,439",PINHEIROS,38163959,5429010,3010201,1,Municipal,45,UNIDADE BASICA DE SAUDE,,,5,UBS/POSTO DE SAUDE/CENTRO DE SAUDE,0
42,327208.05,7395111.19,355030862000166,3550308005054,60,PERDIZES,8,LAPA,Oeste,Oeste,ASSOCIACAO PRO SAUDE MENTAL/PROSAM-CAPS ad,"HEITOR PENTEADO,R,1448",SUMARE,38621385,5438100,2091429,4,Privado,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,,,3,SAUDE MENTAL,0
43,323632.74,7400454.83,355030863000016,3550308005310,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,CASA AZUL-CAPS ad PIRITUBA,"LINO PINTO DOS SANTOS,R,203",JD DA FELICIDADE,3835290,5143000,2766221,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,,,3,SAUDE MENTAL,0
44,332009.13,7385976.67,355030877000121,3550308005094,77,SAUDE,12,VILA MARIANA,Sul,Sul 1,VILA MARIANA-CAPS ad,"CECI,AV,2101",PLANALTO PAULISTA,22753432,4065004,2042924,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,,,3,SAUDE MENTAL,0
45,332719.23,7384938.31,355030838000140,3550308005093,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,JABAQUARA-CAPS ad,"JAPURA,DE,BR,PCA,01",V  GUARANI,50111583,4313160,2815427,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,,,3,SAUDE MENTAL,0
46,348315.67,7389327.06,355030873000028,3550308005154,73,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,SAO MATEUS-CAPS ad,"JOAQUIM GOUVEIA FRANCO,R,150",SAO MATEUS,61198143,3961020,3025012,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,,,3,SAUDE MENTAL,0
47,333808.17,7394491.63,355030878000041,3550308005001,78,SE,9,SE,Centro,Centro,CENTRO-CAPS ad,"FREDERICO ALVARENGA,R,259,5A",PQ. D. PEDRO II,32415460,1020030,2786532,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,,,3,SAUDE MENTAL,0
48,336951.79,7394921.37,355030853000057,3550308005017,53,MOOCA,25,MOOCA,Leste,Leste 1,MOOCA - CAPS ad,"JAIBARAS,R,251",MOOCA,66946364,3163040,3313344,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,,,3,SAUDE MENTAL,0
49,341681.52,7397299.45,355030859000135,3550308005071,59,PENHA,21,PENHA,Leste,Leste 1,PENHA - CAPS ad,"NOSSA SENHORA DA PENHA,PCA,55",PENHA,22935008,3632010,3304566,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,,,3,SAUDE MENTAL,0
50,348813.58,7401849.95,355030828000102,3550308005139,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,ERMELINO MATARAZZO-CAPS ad,"SAMPEI SATO,R,444",JD MATARAZZO,69439276,3814000,2786567,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,,,3,SAUDE MENTAL,0
51,357305.85,7400247.37,355030836000103,3550308005249,36,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,JD  NELIA - CAPS ad,"VALENTE DE NOVAIS,R,51",JD TUA,65618015,8142120,3314359,1,Municipal,10,CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS,,,3,SAUDE MENTAL,0
52,338687.30,7390335.48,355030893000014,3550308005083,93,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,V PRUDENTE-CAPS ADOLESCENTE,"ZELINA,AV,322",V  ZELINA,63419570,3143000,2029596,1,Municipal,12,CENTRO DE ATENCAO PSICOSSOCIAL JUVENTUDE,,,3,SAUDE MENTAL,0
53,320210.61,7381680.07,355030819000089,3550308005231,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,JD LIDIA-CAPS ADULTO,"GUTEMBERG JOSE FERREIRA,R,50",JD. LIDIA,55139560,5860070,2028816,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
54,324901.50,7383342.71,355030871000065,3550308005174,71,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,LGO TREZE DE MAIO-CAPS ADULTO,"PAULA CRUZ,R,71",JD. DOM BOSCO,56866076,4757120,4049829,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
55,324578.31,7390953.18,355030812000135,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,BUTANTA-CAPS ADULTO,"OSCAR PINHEIRO COELHO,R,287",CAXINGUI,37271819,5516050,2786516,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
56,328019.69,7390330.43,355030835000156,3550308005050,35,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,ITAIM BIBI-CAPS ADULTO,"HORACIO LAFER,AV,590",ITAIM BIBI,30786886,4582082,2040808,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
57,329866.51,7396621.23,355030806000024,3550308005029,6,BARRA FUNDA,8,LAPA,Oeste,Oeste,PERDIZES-CAPS ADULTO DR. MANOEL MUNHOZ,"CANDIDO ESPINHEIRA,R,616",PERDIZES,36722000,5004000,4049845,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
58,326309.21,7397570.87,355030848000107,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,LAPA-CAPS ADULTO,"ROMA, R,446",V ROMANA,36755648,5050090,4050290,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
59,323740.73,7401525.16,355030863000003,3550308005114,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,PIRITUBA/JARAGUA-CAPS ADULTO,"RAIMUNDO PEREIRA DE MAGALHAES,AV,5214",PIRITUBA,39749122,2938010,2786508,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
60,325004.32,7400685.24,355030863000081,3550308005112,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,PIRITUBA-CAPS ADULTO,"URUTINGA,R,90",V BONILHA,39767581,2933140,2786583,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
61,327193.63,7402827.61,355030811000126,3550308005120,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,BRASILANDIA-CAPS ADULTO,"AUGUSTO DO AMARAL,DR,R,222",BRASILANDIA,39218924,2831030,2786575,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
62,332888.38,7384193.21,355030838000147,3550308005093,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,JABAQUARA-CAPS ADULTO,"GETULIO VARGAS,R,27",CIDADE VARGAS,50127952,4318030,3025438,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
63,347647.90,7387918.61,355030876000172,3550308005209,76,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,SAPOPEMBA-CAPS II ADULTO,"JOAO LOPES DE LIMA,R,1151",JD SAPOPEMBA,61197080,3976020,2815435,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
64,347870.71,7389639.27,355030873000099,3550308005154,73,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,S MATEUS-CAPS ADULTO,"CLOVIS MONTEIRO CARVALHO JR,R,22",JD. TIETE,69623464,3946060,2069148,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
65,333576.26,7401726.34,355030870000111,3550308005065,70,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 1,MANDAQUI-CAPS ADULTO,"LUIS LUSTOSA DA SILVA,DR,R,369",MANDAQUI,69790923,2406040,2070804,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
66,338783.67,7390647.86,355030893000032,3550308005042,93,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,V PRUDENTE-CAPS/ADULTO,"SANTA HELENA,PCA,56",V  PRUDENTE,63470886,3139030,2786524,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
67,342253.64,7392764.49,355030885000006,3550308005040,85,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,ARICANDUVA / FORMOSA - CAPS ADULTO,"DOMINGO DITANO,PCA,84",V FORMOSA,66751155,3359089,3384292,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
68,338013.77,7404503.95,355030839000045,3550308005070,39,JACANA,6,JACANA-TREMEMBE,Norte,Norte 1,JACANA/TREMEMBE-CAPS ADULTO,"PAULO LINCOLN DO VALLE PONTIN,R,323",JACANA,62423884,2273010,2068133,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
69,344320.24,7396366.44,355030891000057,3550308005075,91,VILA MATILDE,21,PENHA,Leste,Leste 1,V MATILDE-CAPS ADULTO,"JOSE MANOEL DA FONSECA JR,R,416",V  MATILDE,66530944,3511000,2029626,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
70,348050.80,7399822.87,355030828000060,3550308005140,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,ERMELINO MATARAZZO - CAPS ADULTO,"BOTURUSSU,AV,168",PQ. BOTURUSSU,65466787,3802000,2751992,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
71,351431.87,7395751.02,355030837000048,3550308005202,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,ITAQUERA - CAPS ADULTO,"PORTO XAVIER,R,57",V CARMOSINA,62050460,,2067811,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
72,355630.20,7395343.51,355030831000057,3550308005265,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,ARTHUR BISPO DO ROSARIO- GUAIANASES CAPS ADULTO,"SERRA DO MAR,R,56",GUAIANASES,29613240,8410165,3003167,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
73,352238.60,7401088.25,355030874000110,3550308005196,74,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,S MIGUEL PAULISTA-CAPS ADULTO,"OTAVIO DE ROSA,R,37",SAO MIGUEL PAULISTA,69568047,8011150,2752018,1,Municipal,9,CENTRO DE ATENCAO PSICOSSOCIAL ADULTO,,,3,SAUDE MENTAL,0
74,327476.49,7385810.55,355030871000049,3550308005174,71,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,SANTO AMARO-CAPS INFANTIL,"MILTON CAMPOS,SEN,R,149",CHAC STO  ANTONIO,51811122,4708040,4050258,1,Municipal,11,CENTRO DE ATENCAO PSICOSSOCIAL INFANTIL,,,3,SAUDE MENTAL,0
75,324351.44,7396526.91,355030888000024,3550308005107,88,VILA LEOPOLDINA,8,LAPA,Oeste,Oeste,LAPA-CAPS INFANTIL,"BERGSON,R, 52",PQ DA LAPA,38362690,5301060,2027003,1,Municipal,11,CENTRO DE ATENCAO PSICOSSOCIAL INFANTIL,,,3,SAUDE MENTAL,0
76,333054.92,7383914.80,355030838000148,3550308005093,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,CRIA CASINHA JABAQUARA-CAPS INFANTIL,"ONZE DE FEVEREIRO,R,318",CID VARGAS,50218005,4319020,2815443,1,Municipal,11,CENTRO DE ATENCAO PSICOSSOCIAL INFANTIL,,,3,SAUDE MENTAL,0
77,336206.75,7385952.10,355030868000074,3550308005088,68,SACOMA,13,IPIRANGA,Sul,Sul 1,VILA DAS MERCES - CAPS INFANTIL,"NOSSA SENHORA DAS MERCES,R,1315",V DAS MERCES,69402200,4065001,3108368,1,Municipal,11,CENTRO DE ATENCAO PSICOSSOCIAL INFANTIL,,,3,SAUDE MENTAL,0
78,349270.90,7388015.75,355030873000205,3550308005206,73,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,S MATEUS-CAPS INFANTIL E ADOLESCENTE,"ERNESTO MANOGRASSO,R,133",SAO MATEUS,61125956,3963100,2069059,1,Municipal,11,CENTRO DE ATENCAO PSICOSSOCIAL INFANTIL,,,3,SAUDE MENTAL,0
