ID,COORD_E,COORD_N,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTAB_SA,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,LEITOS
11,348283.61,7395290.16,355030805000008,3550308005149,5,ARTUR ALVIM,21,PENHA,Leste,Leste 1,"MANUEL DA NOBREGA,PE-AE","FRANCISCO DE TOLEDO,PE,AV,545",COHAB PADRE M. DA NOBREGA,67417296.000000,3590120,2027070,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
12,336829.56,7396810.31,355030808000018,3550308005016,8,BELEM,25,MOOCA,Leste,Leste 1,BELENZINHO-AE,"JEQUITINHONHA,R, 360",BELENZINHO,2917431.000000,3021040,2091488,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
13,323191.49,7390439.37,355030812000104,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,JD PERI PERI-AE,"JOAO GUERRA,R,247",JD. PERI PERI,37420552.000000,5535100,2027240,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
14,347647.90,7387918.61,355030876000172,3550308005209,76,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,SAPOPEMBA-AE,"JOAO LOPES DE LIMA,R,1151",JD. SAPOPEMBA,69623480.000000,3976020,2751968,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
15,349441.30,7400462.36,355030828000026,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,V PARANAGUA-AE,"JOSE GOES NOGUEIRA,R,70",V  PARANAGUA,69438044.000000,3807380,2751836,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
16,322380.39,7410631.77,355030861000051,3550308005242,61,PERUS,1,PERUS,Norte,Norte 2,PERUS-AE,"JULIO DE OLIVEIRA,R,80",CAIUBA,39171263.000000,5201070,3094340,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
17,351625.95,7400080.95,355030887000041,3550308005193,87,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,S+O MIGUEL-AE,"LAUDELINO FERREIRA DO AMARAL,TEN,AV,519",V. JACU-,62978422.000000,8060000.000000,2065258,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
18,330722.88,7380864.80,355030822000013,3550308005164,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,V JOANIZA-AE,"LUIS VIVES,R,85",V JOANIZA,56220844.000000,4404150,2751828,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
19,336251.62,7394030.64,355030853000041,3550308005018,53,MOOCA,25,MOOCA,Leste,Leste 1,"ITALO DOMIGOS LE VOCCI,DR-AE (MOOCA)","MARINA CRESPI,R,91",MOOCA,62929512.000000,3112090,2751917,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
20,332129.99,7394697.20,355030866000009,3550308005002,66,REPUBLICA,9,SE,Centro,Centro,CONSOLACAO-AE,"MARTINS FONTES,R,208",CONSOLACAO,32564401.000000,1050000,2069008,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
21,341681.62,7397299.34,355030859000135,3550308005071,59,PENHA,21,PENHA,Leste,Leste 1,MAURICE PATE PENHA DE FRANCA-AE,"NOSSA SENHORA DA PENHA,PCA, 55",PENHA DE FRANCA,61924845.000000,3632010,2751933,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
22,335258.41,7402126.96,355030882000068,3550308005066,82,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 1,"ARMANDO DE AGUIAR PUPO,DR-AE (TUCURUVI)","NOVA CANTAREIRA,AV,1476",TUCURUVI,69526700.000000,2331002,2751984,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
23,353914.60,7395645.66,355030847000085,3550308005261,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,GUAIANAZES-AE,"OSVALDO DE OLIVEIRA,PROF,AV,610",JD. HELENA,65578844.000000,8420280,2026996,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
24,322986.68,7381815.77,355030846000047,3550308005225,46,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JD IBIRAPUERA-AE,"PHILIPE DE VITRY,R,280",JD STA JOSEFINA,58947251.000000,5819080,2091658,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
25,327961.47,7403030.77,355030811000289,3550308005120,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,"MARIA CECILIA F DONNANGELO,PROFA-AE","RUI DE MORAIS APOCALIPSE,R,2",JD. DO TIRO,39217759.000000,2742260,2788071,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
26,328169.34,7371815.92,355030830000013,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,"MILTON ALDRED,DR-AE","SAO CAETANO DO SUL,R,381",GRAJAU,59322015.000000,4840230,2751909,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
27,335849.50,7390607.22,355030834000009,3550308005019,34,IPIRANGA,13,IPIRANGA,Sul,Sul 1,"FLAVIO GIANOTTI,DR-AE","XAVIER DE ALMEIDA,R,210",IPIRANGA,61636602.000000,4211000,2751860,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
28,320526.71,7410428.78,355030861000010,3550308005243,61,PERUS,1,PERUS,Norte,Norte 2,PERUS CASA VIVA-AE SM,"ANTONIO MAIA,R,827",PERUS,39171031.000000,5204110,3041530,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES DE SAUDE MENTAL,3,SAUDE MENTAL,0
29,336967.00,7405833.78,355030881000135,3550308005134,81,TREMEMBE,6,JACANA-TREMEMBE,Norte,Norte 1,JD JOAMAR-AMA,"AIAMOPOLO  LOBO,R,60",JD JOAMAR,62048387.000000,02320140,2787520,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
30,346829.03,7395754.88,355030891000093,3550308005147,91,VILA MATILDE,21,PENHA,Leste,Leste 1,ALEXANDRE ZAIO-AMA,"ALBERTO FLORES,R,S/N",VL. NHOCUN+,67492855.000000,3558000.000000,9999927,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
31,322578.87,7400740.62,355030895000019,3550308005110,95,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 2,PQ MARIA DOMITILA -AMA,"ANASTACIO,DO,AV (ESQ. R WILLIS ROBERTO BANKS) 2421",PQ. MARIA DOMITILA,3903-4825,05119-000,3738604,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
32,327767.55,7372443.58,355030830000051,3550308005284,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,"MARIA ANTONIETA FERREIRA DE BARROS,D-AMA","ANTONIO FELIPE,R,180",JD. REIMBERG,59280345.000000,4845000,4050282,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
33,332995.03,7383255.78,355030838000094,3550308005095,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,"GERALDO S FERREIRA,DR-AMA","ARMANDO DE ARRUDA PEREIRA,ENG,AV,2944",PQ JABAQUARA,55882366.000000,4309011,2042991,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
34,351131.68,7385823.49,355030875000029,3550308005277,75,SAO RAFAEL,30,SAO MATEUS,Leste,Leste 2,JD S FRANCISCO II-AMA,"BANDEIRA DO ARACAMBI,S/N",JD. SAO FRANCISCO,67516712.000000,8310010,2788527,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
35,345993.67,7386845.93,355030876000240,3550308005161,76,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,HUMBERTO GASTAO BODRA-AMA JD. ELBA,"BATISTA FERGUSIO,R,1016",V  CARDOSO FRANCO,67043491.000000,3978180,2043009,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
36,354076.83,7388916.21,355030833000055,3550308005275,33,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,JD DAS LARANJEIRAS-AMA,"BENTO GUELFI, AV,1100",JD LARANJEIRAS,67317252.000000,8380460.000000,2787342,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
37,356691.95,7391545.43,355030825000044,3550308005268,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CASTRO ALVES-AMA,"CADERNO DE VIAGEM,R,55",CASTRO ALVES,62820320.000000,8474170.000000,4050177,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
38,332194.48,7383128.30,355030838000337,3550308005095,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,"ARTHUR RIBEIRO SABOYA,DR-AMA (JABAQUARA)","DALTRO FILHO,GAL,AV,S/Nª",JABAQUARA,50135300.000000,,9999928,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
39,326019.29,7404178.48,355030829000233,3550308005119,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,JD PAULISTANO-AMA,"ENCRUZILHADA DO SUL,R, 220",JD PAULISTANO,39722916.000000,2816010,2787679,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
40,347466.44,7389522.21,355030873000125,3550308005207,73,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,JD TIETE I-AMA,"ENGENHO NOVO,AV,120",JD. TIETE,69623644.000000,3943020,2787881,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
41,355275.57,7393345.10,355030825000315,3550308005268,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,FAZENDA DO CARMO - AMA,"FRANCISCO CARDOSO JR,R,10",CIDADE TIRADENTES,6556-7600,08421-105,3738663,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
42,341661.97,7397294.59,355030859000134,3550308005071,59,PENHA,21,PENHA,Leste,Leste 1,MAURICE PATE - AMA,"GERMANO,FREI,R,50",PENHA,61975802.000000,3604050.000000,5268125,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
43,319537.45,7379428.13,355030843000132,3550308005227,43,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,JD ANGELA - AMA,"GUAVIRITUBA,ESTR,49",V  SANTA LUCIA,58315665.000000,04937000,3474674,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
44,352122.06,7394903.84,355030837000178,3550308005202,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,V CARMOSINA-AMA,"IPOPOCA,R,61",ITAQUERA,65247796.000000,8290335,2788772,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
45,358965.54,7398858.79,355030836000325,3550308005254,36,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,JD NELIA-AMA,"ITAJUIBE,R,1910",ITAIM PAULISTA,69633802.000000,8142000,2027526,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
46,340868.57,7392095.62,355030801000090,3550308005041,1,AGUA RASA,25,MOOCA,Leste,Leste 1,"V ORATORIO ""TITO P.MASCELANI"" -AMA","JOAO FIALHO DE CARVALHO,R,35",V DIVA,61012979.000000,3345010,2752379,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
47,320386.65,7410035.76,355030861000019,3550308005243,61,PERUS,1,PERUS,Norte,Norte 2,PERUS-AMA,"JOAO GONCALVES DE LIMA,VIG,PCA,239",PERUS,39170707.000000,5206180,2788225,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
48,336079.13,7398396.31,355030886000029,3550308005031,86,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,Norte,Norte 1,V GUILHERME-AMA,"JOAO VENTURA BATISTA,R,615",V GUILHERME,69015883.000000,2054100,2788950,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
49,329067.62,7404417.81,355030811000302,3550308005121,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,JD LADEIRA ROSA-AMA,"JOSE DA COSTA GAVIAO,R,150",PQ. TIET-,38518818.000000,2772000,2787555,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
50,359045.22,7400917.21,355030836000113,3550308005251,36,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,JD DAS OLIVEIRAS-AMA,"JOSE DA CRUZ CAMARGO,R,174",JD DAS OLIVEIRAS,69632415.000000,8122100,2787350,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
51,354780.55,7402674.63,355030844000079,3550308005244,44,JARDIM HELENA,23,SAO MIGUEL,Leste,Leste 2,JD HELENA-AMA,"KUMAKI AOKI,AV,785",JD. HELENA,65811661.000000,8090370,4049934,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
52,337351.35,7387626.19,355030868000131,3550308005085,68,SACOMA,13,IPIRANGA,Sul,Sul 1,SACOMA-AMA,"LAGRIMAS,DAS,ESTR,1403",V HELIOPOLIS,2733537.000000,4232000,2788519,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
53,322209.64,7382412.50,355030846000093,3550308005224,46,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JD S LUIZ-AMA,"LUIS ANTONIO VERNEY,R,98",JD. SAO LUIZ,55111153.000000,5846380,2787792,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
54,330722.88,7380864.80,355030822000013,3550308005164,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,V JOANIZA-AMA,"LUIS VIVES,R,85",V JOANIZA,56220844.000000,4404150,2751828,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
55,354835.88,7397074.31,355030896000192,3550308005257,96,LAJEADO,28,GUAIANASES,Leste,Leste 2,JD ETELVINA-AMA,"MANOEL TEODORO XAVIER,R,138",JD ETELVINA,61351756.000000,8430570,2787377,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
56,324984.54,7401444.35,355030863000054,3550308005115,63,PIRITUBA,2,PIRITUBA,Norte,Norte 2,V PEREIRA BARRETO-AMA,"MANUEL D'ELBOUX,D,R,76",JD. SAO JOSE,39759019.000000,2932110,2789167,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
57,320319.80,7401253.76,355030895000061,3550308005111,95,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 2,PQ ANHANGUERA I-AMA,"MARCELA ALVES DE CASSIA,R,175",JD JARAGUA,39048999.000000,5158400,2788241,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
58,351340.40,7399131.98,355030887000082,3550308005193,87,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,SITIO DA CASA PINTADA-AMA,"MARIA SANTANA,AV,101",JD STA MARIA,61530800.000000,8050130.000000,2091798,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
59,324043.04,7363462.70,355030855000022,3550308005301,55,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,PARELHEIROS-AMA,"MARIO TRAPE,R,100",JD. NOVO PARELHEIROS,59208860.000000,4890430,4050150,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
60,343589.44,7398777.37,355030818000154,3550308005073,18,CANGAIBA,21,PENHA,Leste,Leste 1,CH-CARA CRUZEIRO DO SUL - AMA,"MERCEDES LOPES,R,989",CH-CARA CRUZEIRO DO SUL,66470031.000000,3614000.000000,3738736,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
61,330960.05,7401641.63,355030821000079,3550308005062,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 2,SITIO DO MANDAQUI-AMA,"OSCAR DE MOURA LACERDA,ENG,R,231",IMIRIM,62391561.000000,2540070,2788594,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
62,353914.60,7395645.66,355030847000085,3550308005261,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,GUAIANAZES-AMA,"OSVALDO DE OLIVEIRA,PROF,AV,610",JD. HELENA,65578844.000000,8420280,2026996,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
63,347741.64,7394065.67,355030824000018,3550308005150,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,JD BRASILIA-AMA,"OSVALDO VALLE CORDEIRO,AV,245",JD. BRASILIA,67439476.000000,3584000,4050088,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
64,317665.62,7374480.31,355030843000220,3550308005289,43,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,JD CAPELA-AMA,"PAIVA MANSO,DE,BR,R,200",JD. CAPELA,55170226.000000,4960110,2787245,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
65,336232.50,7403662.56,355030882000154,3550308005131,82,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 1,WAMBERTO DIAS COSTA-AMA,"PAULO CESAR,R,60",TREMEMBE,62038992.000000,2311240,4049985,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
66,331028.90,7404120.19,355030813000228,3550308005127,13,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 2,JD PERI-AMA,"PERI RONCHETTI,AV,914",JD PERI,62318771.000000,2633000,2787695,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
67,340729.45,7390538.63,355030872000142,3550308005081,72,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,"HERMENEGILDO MORBIN JR,DR- JD INDEPENDENCIA AMA","PLANALTO DA CONQUISTA,R,80",JD. INDEPENDENCIA,62163746.000000,3223170,2752239,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
68,325459.25,7370021.78,355030855000004,3550308005299,55,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,JD CAMPINAS-AMA,"PLEIADES,DAS,R,S/N",JD. MARIA AMALIACAMPINAS,55273589.000000,4858550,2787229,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
69,318080.22,7377909.12,355030843000023,3550308005293,43,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,PQ NOVO STO AMARO-AMA,"PORTA DO PRADO,R,18",PQ NOVO STO AMARO,58311448.000000,5874130,2788365,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
70,331842.27,7379263.62,355030822000156,3550308005168,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,V MISSIONARIA-AMA,"RAINHA DAS MISSOES,R,53",V MISSIONARIA,56122270.000000,4430100,2789078,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
71,357862.71,7401792.84,355030844000156,3550308005247,44,JARDIM HELENA,23,SAO MIGUEL,Leste,Leste 2,JD ROMANO-AMA,"RIO MANOEL ALVES,R,57",ITAIM PAULISTA,65813737.000000,8190450,2787733,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
72,326443.63,7373207.66,355030823000186,3550308005286,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JD ICARAI I (QUINTANA)-AMA,"ROQUE DO PARAGUASSU,S,S/N",V QUINTANA,59280272.000000,4837150,2787474,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
73,321900.49,7395216.82,355030841000058,3550308005108,41,JAGUARE,8,LAPA,Oeste,Oeste,V NOVA JAGUARE-AMA,"SALATIEL DE CAMPOS,R,222",JAGUARE,37681527.000000,5333010,2789116,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
74,332389.69,7380573.53,355030822000169,3550308005166,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,JD MIRIAM-AMA MANOEL S. OLIVEIRA,"SANTO AFONSO,AV,419",JD. MIRIAM,56227869.000000,4426000,2787601,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
75,341323.26,7388644.51,355030893000124,3550308005082,93,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,V CALIFORNIA-AMA,"SAO JANUARIO,DE,CDE,PCA,91",V CALIFORNIA,69171117.000000,3215080,2026988,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
76,340133.13,7396528.99,355030880000026,3550308005036,80,TATUAPE,25,MOOCA,Leste,Leste 1,TATUAP+-AMA,"SIRIA,R,S/Nª",TATUAP+,62251314.000000,3086040.000000,9999926,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
77,351923.20,7388362.51,355030833000072,3550308005306,33,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,JD CONQUISTA III-AMA,"SOMOS TODOS IGUAIS,R, 330",S+O MATEUS,67342079.000000,08343000,3738647,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
78,336895.55,7394543.75,355030853000057,3550308005017,53,MOOCA,25,MOOCA,Leste,Leste 1,CITY JARAGUA - AMA,"TAIPAS,ESTR, DE (ESQ. R PAULO ARENTINO)1648",JARAGUA,3928-4976,02991-000,3738582,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0
