VARIAVEL,CODIGO,CATEGORIA,DESCRICAO,,,
SA_TIPO,17,Centro de Referência do Idoso/Unidade Referência Saúde do Idoso,"Estabelecimento especializado para atender ao idoso na sua área de abrangência.Ele se insere no nível secundário da atenção à saúde, desenvolvendo ações assistenciais a doenças de maior complexidade e problemas de saúde específicos da população idosa, alé",,,
SA_TIPO,19,Centro de Testagem e Acompanhamento DST/AIDS e Centro de Prevencao e Assistencia,"Serviço estruturado para atividades de prevenção, aconselhamento e testes DST, HIV/AIDS e hepatite (B e C). ",,,
SA_TIPO,20,Centro de Reabilitação,"Estabelecimento voltado à recuperação física e psicológica do paciente, visando a melhoria de sua qualidade de vida.",,,
SA_TIPO,21,Centro de Referência DST/AIDS,"Serviço de maior resolutividade, estruturado com referência aos serviços de menor complexidade. Realiza os mesmos níveis de atenção de um SAE, mas tem capacidade para procedimentos diagnósticos mais complexo (endoscopia e radiologia).  ",,,
SA_TIPO,22,Centro de Referência de Sáude do Trabalhador,"Local onde o trabalhador encontra apoio para o diagnóstico e comprovação de doenças, acidentes e problemas de saúde decorrentes da atividade produtiva.",,,
SA_TIPO,24,Centro/Clínica de Especialidades Odontológicas,Realizam tratamento de canal (endodontia); tratamento de gengivas (periodontia); cirurgia oral menor; diagnóstico bucal e tratamento ortodôntico/ortopédico. ,,,
SA_TIPO,25,Clínica Especializada,Estabelecimento com equipe multidisciplinar que além da consulta realiza diversos exames.,,,
SA_TIPO,30,Hospital,Realiza atendimento de média e alta complexidade.,,,
SA_TIPO,32,Hospital Especializado,É o estabelecimento de saúde destinado a prestar assistência médica em uma ou mais especialidades.,,,
SA_TIPO,33,Hospital Geral,"Hospital destinado a prestar assistência sanitária a doentes, nas quatros especialidades básicas; clínica médica, cirúgica, gineco obstreta e pediátrica.",,,
SA_TIPO,35,Laboratório,"Tem competência para a análise de drogas, medicamentos, insumos farmacêuticos e correlatos.",,,
SA_TIPO,38,Pronto Atendimento,Atendimento de urgência dentro do horário de funcionamento do estabelecimento de saúde.,,,
SA_TIPO,39,Pronto Socorro Geral,"Estabelecimento destinado a assistência a pacientes com ou sem risco de vida, cujo agravos necessitam de atendimento imediato, podendo ter internação ou não.  ",,,
SA_TIPO,43,Serviço de Atendimento Especializado em DST/AIDS (SAE),"Capacitado para atividades de prevenção, diagnóstico e tratamento de pessoas com DST/HIV/AIDS, em nível ambulatorial e hospital-dia e com equipe multiprofissional.",,,
SA_TIPO,45,Unidade Básica de Saúde,"Atendimento básico em Pediatria, Ginecologia, Clínica Geral, Enfermagem e Odontologia. Principais serviços oferecidos: consultas médicas, inalações, injeções, curativos, vacinas, coleta de exames laboratoriais, tratamento odontológico, encaminhamentos par",,,
SA_TIPO,48,Unidade de Apoio Diagnose e Terapia ,"É uma modalidade de prestação de serviços com o objetivo de formular ou esclarecer o diagnóstico. Realiza procedimentos terapêuticos específicos para pacientes externos, internos ou de emergência de um serviço de saúde.",,,
SA_TIPO,50,Laboratório de Zoonoses,Tem como objetivo principal  contribuir com as ações das vigilâncias epidemiológica e ambiental e controle das principais zoonoses urbanas.,,,
SA_CLASSE,1,Ambulatórios Especializados,Atende pacientes  encaminhados por outros estabelecimentos e que requerem cuidados em áreas específicas.,,,
SA_CLASSE,2,Apoio Diagnóstico,Realiza exames que respaldam o diagnóstico médico.,,,
SA_CLASSE,3,Saúde Mental,Serviço de atendimento aos pacientes portadores de transtornos mentais.  ,,,
SA_CLASSE,4,Vigilância em Saúde,"Fiscaliza a comercialização de alimentos, medicamentos e serviços de saúde.",,,
SA_CLASSE,5,UBS/Posto de Saúde/Centro de Saúde,O primeiro contato do paciente com o SUS.,,,
SA_CLASSE,6,Urgência/ Emergência,Atende paciente que requer cuidado imediato e pode resultar em internação ou não.,,,
SA_CLASSE,7,Hospital,Refere-se aos estabelecimentos de saúde com capacidade de internamento (leitos) e que realizam procedimentos de média e alta complexidade.,,,
SA_CLASSE,8,Unidades DST/AIDS,"Prevenção, diagnóstico e tratamento de pessoas com DST/HIV/AIDS.",,,
SA_CLASSE,9,Outros Estabelecimentos e Serviços Especializados,Agrupa vários tipos de estabelecimentos que realizam desde procedimentos específicos para segmentos populacionais até planejamento para ações preventivas na área de saúde.,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
